"queen_ID","sc_ID","date_emerged","day_0_weight","date_removed","date_mated","day_mated","male_sc_id","mating_type","day_10_weight","prehib_weightdiff","rel_prehib_weightdiff","date_to_14","date_to_4","treatment","emergence_weight","end_weight","hib_weightloss","rec_weightdiff"
"Y35",4,"2021-03-07",552.7,"2021-03-12","2021-03-17",10,"No observed matings","Unmated",536.9,-15.8,-0.028586937,"2021-03-17","2021-03-20","2 month","NA","NA","NA","NA"
"Y37",4,"2021-03-07",548.6,"2021-03-12","2021-03-14",7,"6-1, Ex","Unmated",722.3,173.7,0.316624134,"2021-03-17","2021-03-20","Recovery G","631.8","536.5000","NA","-95.3"
"Y38",4,"2021-03-07",536.2,"2021-03-12","2021-03-14",7,"6-1, Ex","Unmated",622.8,86.6,0.1615069,"2021-03-17","2021-03-20","4 month","531","NA","91.8","NA"
"Y6",4,"2021-03-08",545.6,"2021-03-13","2021-03-18",10,"No observed matings","Unmated",493.7,-51.9,-0.095124633,"2021-03-18","2021-03-21","1 month","NA","NA","NA","NA"
"Y44",4,"2021-03-08",576.2,"2021-03-13","2021-03-18",10,"No observed matings","Unmated",665.4,89.2,0.154807359,"2021-03-18","2021-03-21","4 month","551","NA","114.4","NA"
"Y46",4,"2021-03-08",528.8,"2021-03-13","2021-03-17",9,"6-1, Ex","Unmated",559.4,30.6,0.057866868,"NA","2021-03-18","Post-Mating","NA","NA","NA","NA"
"Y52",4,"2021-03-09",563.3,"2021-03-14","2021-03-19",10,"No observed matings","Unmated",596.7,33.4,0.059293449,"2021-03-19","2021-03-22","2 month","NA","NA","NA","NA"
"Y1",4,"2021-03-12",485.1,"2021-03-17","2021-03-19",7,"6-4, ","Unmated",462.7,-22.4,-0.046176046,"NA","2021-03-22","Post-Mating","NA","NA","NA","NA"
"Y74",4,"2021-03-14",492.2,"2021-03-19","2021-03-21",7,"6-4 Ex, ","Unmated",525,32.8,0.066639577,"2021-03-24","2021-03-27","Recovery C","454.1","454.4000","70.9","0.3"
"Y78",4,"2021-03-14",466.4,"2021-03-19","2021-03-21",7,"6-4 Ex, spasm mating","Mated",499.6,33.2,0.071183533,"2021-03-24","2021-03-27","2 month","NA","NA","NA","NA"
"Y83",4,"2021-03-16",451,"2021-03-21","2021-03-26",10,"No observed matings","Unmated",467.7,16.7,0.037028825,"NA","2021-03-26","Post-Mating","NA","NA","NA","NA"
"Y99",4,"2021-03-22",457.6,"2021-03-27","2021-03-29",7,"5-5, ","Unmated",499.9,42.3,0.092438811,"2021-04-01","2021-04-04","2 month","NA","NA","NA","NA"
"R14",4,"2021-03-28",721.2,"2021-04-02","2021-04-04",7,"5-6, ","Unmated",707.8,-13.4,-0.018580144,"2021-04-07","2021-04-10","Recovery C","584.2","559.4000","123.6","-24.8"
"R15",4,"2021-03-28",812,"2021-04-02","2021-04-04",7,"6-6, ","Unmated",785.6,-26.4,-0.032512315,"2021-04-07","2021-04-10","2 month","NA","NA","NA","NA"
"R16",4,"2021-03-30",710.1,"2021-04-04","2021-04-06",7,"5-7, ","Unmated",748.7,38.6,0.054358541,"2021-04-09","2021-04-12","4 month","557.4","NA","191.3","NA"
