"queen_ID","sc_ID","date_emerged","day_0_weight","date_removed","date_mated","day_mated","male_sc_id","day_10_weight","mating_type","prehib_weightdiff","date_to_14","date_to_4","treatment","status","date_ended","date_rec_end","emerg_weight","end_weight","hib_weightloss","rec_weightdiff"
"Y35",4,"2021-03-07",552.7,"2021-03-12","2021-03-17",10,"No observed matings",536.9,"Unmated",-15.8,"2021-03-17","2021-03-20","2 month","Alive","2021-05-20",NA,NA,NA,NA,NA
"Y36",4,"2021-03-07",545.8,"2021-03-12","2021-03-17",10,"No observed matings",478.9,"Unmated",NA,"2021-03-17","2021-03-20","4 month","Dead","2021-07-19","2021-07-26",NA,NA,NA,NA
"Y37",4,"2021-03-07",548.6,"2021-03-12","2021-03-14",7,"6-1, Ex",722.3,"Unmated",173.7,"2021-03-17","2021-03-20","Recovery G","Alive","2021-07-19","2021-07-26",631.8,536.5,NA,-95.3
"Y38",4,"2021-03-07",536.2,"2021-03-12","2021-03-14",7,"6-1, Ex",622.8,"Unmated",86.6,"2021-03-17","2021-03-20","4 month","Alive","2021-07-19",NA,531,NA,91.8,NA
"Y39",4,"2021-03-07",573.5,"2021-03-12","2021-03-14",7,"6-1, Ex",608.7,"Unmated",NA,"2021-03-17","2021-03-20","4 month","Dead","2021-07-19","2021-07-26",NA,NA,NA,NA
"Y6",4,"2021-03-08",545.6,"2021-03-13","2021-03-18",10,"No observed matings",493.7,"Unmated",-51.9,"2021-03-18","2021-03-21","1 month","Alive","2021-04-18",NA,NA,NA,NA,NA
"Y44",4,"2021-03-08",576.2,"2021-03-13","2021-03-18",10,"No observed matings",665.4,"Unmated",89.2,"2021-03-18","2021-03-21","4 month","Alive","2021-07-19",NA,551,NA,114.4,NA
"Y46",4,"2021-03-08",528.8,"2021-03-13","2021-03-17",9,"6-1, Ex",559.4,"Unmated",30.6,NA,"2021-03-18","Post-Mating","Alive","2021-03-18",NA,NA,NA,NA,NA
"Y47",4,"2021-03-08",469.9,"2021-03-13","2021-03-17",9,"6-1, Ex",493,"Unmated",NA,"2021-03-18","2021-03-21","1 month","Dead","2021-04-18",NA,NA,NA,NA,NA
"Y51",4,"2021-03-09",497.2,"2021-03-14","2021-03-18",9,"6-4, ",521.6,"Unmated",NA,"2021-03-19","2021-03-22","4 month","Dead","2021-07-22",NA,NA,NA,NA,NA
